speed,rpm,calculatedEngineload,ts
56,3000,20,41032
57,2000,23,42232
38,4000,23,43432
23,4000,25,44632
23,4500,25,45832
45,5000,15,47032
3,5500,25,48232
23,6000,25,49432
34,6500,28,50632
34,7000,14,51832
45,7500,24,53032
45,8000,19,54232
4,8500,19,55432
54,9000,20.42307692,56632
54,3000,20.20879121,57832
3,2000,19.99450549,59032
43,4000,19.78021978,60232
3,4000,19.56593407,61432
42,4500,19.35164835,62632
23,5000,19.13736264,63832
32,5500,18.92307692,65032
45,6000,18.70879121,66232
56,6500,18.49450549,67432
57,7000,18.28021978,68632
38,7500,18.06593407,69832
23,8000,17.85164835,71032
23,8500,17.63736264,72232
45,9000,17.42307692,73432
3,3000,17.20879121,74632
23,2000,16.99450549,75832
34,4000,16.78021978,77032
34,4000,16.56593407,78232
45,4500,16.35164835,79432
45,5000,16.13736264,80632
4,5500,15.92307692,81832
54,6000,15.70879121,83032
54,6500,15.49450549,84232
3,7000,15.28021978,85432
43,7500,15.06593407,86632
3,8000,14.85164835,87832
42,8500,14.63736264,89032
23,9000,14.42307692,90232
32,3000,14.20879121,91432
45,2000,17,92632
56,4000,18,93832
57,4000,19,95032
38,4500,20,96232
23,5000,21.43113553,97432
23,5500,22.6670853,98632
45,6000,23.90303506,99832
3,6500,25.13898482,101032
23,7000,26.37493459,102232
34,7500,27.61088435,103432
34,8000,28.84683412,104632
45,8500,30.08278388,105832
45,9000,31.31873365,107032
4,3000,20,108232
54,2000,23,109432
54,4000,23,110632
3,4000,25,111832
43,4500,25,113032
3,5000,15,114232
42,5500,25,115432
23,6000,25,116632
32,6500,28,117832
45,7000,14,119032
56,7500,24,120232
57,8000,19,121432
38,8500,19,122632
23,9000,20.42307692,123832
23,3000,20.20879121,125032
45,2000,19.99450549,126232
3,4000,19.78021978,127432
23,4000,19.56593407,128632
34,4500,19.35164835,129832
34,5000,19.13736264,131032
45,5500,18.92307692,132232
45,6000,18.70879121,133432
4,6500,18.49450549,134632
54,7000,18.28021978,135832
54,7500,18.06593407,137032
3,8000,17.85164835,138232
43,8500,17.63736264,139432
3,9000,17.42307692,140632
42,3000,17.20879121,141832
23,2000,16.99450549,143032
32,4000,16.78021978,144232
45,4000,16.56593407,145432
56,3000,16.35164835,146632
57,2000,16.13736264,147832
38,4000,15.92307692,149032
23,4000,15.70879121,150232
23,4500,15.49450549,151432
45,5000,15.28021978,152632
3,5500,15.06593407,153832
23,6000,14.85164835,155032
34,6500,14.63736264,156232
34,7000,14.42307692,157432
45,7500,14.20879121,158632
45,8000,17,159832
4,8500,18,161032
54,9000,19,162232
54,3000,20,163432
3,2000,21.43113553,164632
43,4000,22.6670853,165832
3,4000,23.90303506,167032
42,4500,25.13898482,168232
23,5000,26.37493459,169432
32,5500,27.61088435,170632
45,6000,28.84683412,171832
56,6500,30.08278388,173032
57,7000,31.31873365,174232
38,7500,20,175432
23,8000,23,176632
23,8500,23,177832
45,9000,25,179032
3,3000,25,180232
23,2000,15,181432
34,4000,25,182632
34,4000,25,183832
45,4500,28,185032
45,5000,14,186232
4,5500,24,187432
54,6000,19,188632
54,6500,19,189832
3,7000,20.42307692,191032
43,7500,20.20879121,192232
3,8000,19.99450549,193432
42,8500,19.78021978,194632
23,9000,19.56593407,195832
32,3000,19.35164835,197032
45,2000,19.13736264,198232
56,4000,18.92307692,199432
57,4000,18.70879121,200632
38,4500,18.49450549,201832
23,5000,18.28021978,203032
23,5500,18.06593407,204232
45,6000,17.85164835,205432
3,6500,17.63736264,206632
23,7000,17.42307692,207832
34,7500,17.20879121,209032
34,8000,16.99450549,210232
45,8500,16.78021978,211432
45,9000,16.56593407,212632
4,3000,16.35164835,213832
54,2000,16.13736264,215032
54,4000,15.92307692,216232
3,4000,15.70879121,217432
43,4500,15.49450549,218632
3,5000,15.28021978,219832
42,5500,15.06593407,221032
23,6000,14.85164835,222232
32,6500,14.63736264,223432
45,7000,14.42307692,224632
56,7500,14.20879121,225832
57,8000,17,227032
38,8500,18,228232
23,9000,19,229432
23,3000,20,230632
45,2000,21.43113553,231832
3,4000,22.6670853,233032
23,4000,23.90303506,234232
34,4500,25.13898482,235432
34,5000,26.37493459,236632
45,5500,27.61088435,237832
45,6000,28.84683412,239032
4,6500,30.08278388,240232
54,7000,31.31873365,241432
54,7500,20,242632
3,8000,23,243832
43,8500,23,245032
3,9000,25,246232
42,3000,25,247432
23,2000,15,248632
32,4000,25,249832
45,4000,25,251032
56,3000,28,252232
57,2000,14,253432
38,4000,24,254632
23,4000,19,255832
23,4500,19,257032
45,5000,20.42307692,258232
3,5500,20.20879121,259432
23,6000,19.99450549,260632
34,6500,19.78021978,261832
34,7000,19.56593407,263032
45,7500,19.35164835,264232
45,8000,19.13736264,265432
4,8500,18.92307692,266632
54,9000,18.70879121,267832
54,3000,18.49450549,269032
3,2000,18.28021978,270232
43,4000,18.06593407,271432
3,4000,17.85164835,272632
42,4500,17.63736264,273832
23,5000,17.42307692,275032
32,5500,17.20879121,276232
45,6000,16.99450549,277432
56,6500,16.78021978,278632
57,7000,16.56593407,279832
38,7500,16.35164835,281032
23,8000,16.13736264,282232
23,8500,15.92307692,283432
45,9000,15.70879121,284632
3,3000,15.49450549,285832
23,2000,15.28021978,287032
34,4000,15.06593407,288232
34,4000,14.85164835,289432
45,4500,14.63736264,290632
45,5000,14.42307692,291832
4,5500,14.20879121,293032
54,6000,17,294232
54,6500,18,295432
3,7000,19,296632
43,7500,20,297832
3,8000,21.43113553,299032
42,8500,22.6670853,300232
23,9000,23.90303506,301432
32,3000,25.13898482,302632
45,2000,26.37493459,303832
56,4000,27.61088435,305032
57,4000,28.84683412,306232
38,4500,30.08278388,307432
23,5000,31.31873365,308632
23,5500,20,309832
45,6000,23,311032
3,6500,23,312232
23,7000,25,313432
34,7500,25,314632
34,8000,15,315832
45,8500,25,317032
45,9000,25,318232
4,3000,28,319432
54,2000,14,320632
54,4000,24,321832
3,4000,19,323032
43,4500,19,324232
3,5000,20.42307692,325432
42,5500,20.20879121,326632
