mfyear,carLineClassCode,carLineClassDesc,mfrName,carline,fuelCost
2013,13,Standard Pick-up Trucks 4WD,General Motors,K15 SIERRA 4WD HYBRID,2550
2013,13,Standard Pick-up Trucks 4WD,General Motors,K15 SILVERADO 4WD HYBRID,2550
2013,15,Vans  Passenger Type,General Motors,H1500 EXPRESS AWD PASS,3800
2013,15,Vans  Passenger Type,Ford Motor Company,E150 WAGON FFV,3800
2013,4,Compact Cars,Honda,CIVIC,950
2013,4,Compact Cars,Toyota,PRIUS c,1050
2013,21,Special Purpose Vehicle  minivan 4WD,Toyota,SIENNA AWD,2800
2013,11,Small Pick-up Trucks 4WD,Toyota,TACOMA 4WD,2800
2013,11,Small Pick-up Trucks 4WD,Toyota,TACOMA 4WD,2800
2013,30,Small SUV 2WD,MAZDA,CX-5 2WD,1850
2013,30,Small SUV 2WD,MAZDA,CX-5 2WD,1850
2013,32,Standard SUV 2WD,Ford Motor Company,EXPLORER FWD,2300
2013,32,Standard SUV 2WD,General Motors,C1500 TAHOE 2WD HYBRID,2550
2013,14,Vans  Cargo Types,Nissan,NV200 Cargo Van,2200
2013,14,Vans  Cargo Types,General Motors,G1500 EXPRESS 2WD CARGO,3150
2013,33,Standard SUV 4WD,Toyota,HIGHLANDER HYBRID 4WD,1900
2013,33,Standard SUV 4WD,Mercedes-Benz,ML 350 BLUETEC 4MATIC,2500
2013,1,Two Seaters,Honda,CR-Z,1450
2013,1,Two Seaters,Honda,CR-Z,1550
2013,6,Large Cars,Ford Motor Company,C-MAX Hybrid FWD,1350
2013,6,Large Cars,Hyundai,SONATA,1900
2013,17,Special Purpose Vehicle 2WD,Ford Motor Company,TRANSIT CONNECT WAGON FWD,2200
2013,17,Special Purpose Vehicle 2WD,Ford Motor Company,Transit Connect Van,2300
2013,3,Subcompact Cars,General Motors,SPARK,1550
2013,3,Subcompact Cars,Ford Motor Company,Fiesta FWD,1600
2013,7,Small Station Wagons,Audi,A3,1700
2013,7,Small Station Wagons,Honda,FIT,1700
2013,12,Standard Pick-up Trucks 2WD,General Motors,C15 SIERRA 2WD HYBRID,2550
2013,12,Standard Pick-up Trucks 2WD,General Motors,C15 SILVERADO 2WD HYBRID,2550
2013,8,Midsize Station Wagons,Toyota,PRIUS v,1250
2013,8,Midsize Station Wagons,Mercedes-Benz,E 350 4Matic (Wagon),2600
2013,18,Special Purpose Vehicle 4WD,Ford Motor Company,MKT LIVERY AWD,2800
2013,20,Special Purpose Vehicle  minivan 2WD,MAZDA,MAZDA 5,2200
2013,20,Special Purpose Vehicle  minivan 2WD,MAZDA,MAZDA 5,2200
2013,31,Small SUV 4WD,MAZDA,CX-5 4WD,1900
2013,31,Small SUV 4WD,Subaru,XV CROSSTREK AWD,1900
2013,10,Small Pick-up Trucks 2WD,Toyota,TACOMA 2WD,2300
2013,10,Small Pick-up Trucks 2WD,Nissan,FRONTIER 2WD,2550
2013,5,Midsize Cars,Toyota,PRIUS,1050
2013,5,Midsize Cars,Ford Motor Company,FUSION HYBRID FWD,1250
2013,2,Minicompact Cars,Toyota,iQ,1450
2013,2,Minicompact Cars,Chrysler Group LLC,500,1700
