VIN,timestamp,speed,rpm,calculatedEngineload,coolantTemperature,latitude,longitude,fuelconsumption
JH4TB2H26CC000000,1462539331577,56,3000,20,23,61.385,-152.268,
1HGCM82633A004352,1462539331637,57,2000,23,12,32.799,-86.8073,
1LNHM81W8YY836530,1462539331697,38,4000,23,34,34.9513,-92.3809,
1ZVHT82H485113456,1462539331757,23,4000,25,23,14.2417,-170.72,
JTMKF4DV5B5309254,1462539331817,23,4500,25,23,33.7712,-111.388,
WP0CA29863U153381,1462539331877,45,5000,15,23,36.17,-119.746,
2FTRX07W53C371582,1462539331937,3,5500,25,34,39.0646,-105.327,
1FAHP26W49G252740,1462539331997,23,6000,25,23,41.5834,-72.7622,
JH4TB2H26CC000001,1462539332057,34,6500,28,34,38.8964,-77.0262,
1HGCM82633A004353,1462539332117,34,7000,14,23,39.3498,-75.5148,
1LNHM81W8YY836531,1462539332177,45,7500,24,23,27.8333,-81.717,
1ZVHT82H485113457,1462539332237,45,8000,19,34,32.9866,-83.6487,
JTMKF4DV5B5309255,1462539332297,4,8500,19,23,21.1098,-157.531,
WP0CA29863U153382,1462539332357,54,9000,20.42307692,25,42.0046,-93.214,
2FTRX07W53C371583,1462539332417,54,3000,20.20879121,26,44.2394,-114.51,
1FAHP26W49G252741,1462539332477,3,2000,19.99450549,26,40.3363,-89.0022,
JH4TB2H26CC000002,1462539332537,43,4000,19.78021978,27.85,39.8647,-86.2604,
1HGCM82633A004354,1462539332597,3,4000,19.56593407,28.11911765,38.5111,-96.8005,
1LNHM81W8YY836532,1462539332657,42,4500,19.35164835,28.38823529,37.669,-84.6514,
1ZVHT82H485113458,1462539332717,23,5000,19.13736264,28.65735294,31.1801,-91.8749,
JTMKF4DV5B5309256,1462539332777,32,5500,18.92307692,28.92647059,42.2373,-71.5314,
WP0CA29863U153383,1462539332837,45,6000,18.70879121,29.19558824,39.0724,-76.7902,
2FTRX07W53C371584,1462539332897,56,6500,18.49450549,29.46470588,44.6074,-69.3977,
1FAHP26W49G252742,1462539332957,57,7000,18.28021978,29.73382353,43.3504,-84.5603,
JH4TB2H26CC000003,1462539333017,38,7500,18.06593407,30.00294118,45.7326,-93.9196,
1HGCM82633A004355,1462539333077,23,8000,17.85164835,30.27205882,38.4623,-92.302,
1LNHM81W8YY836533,1462539333137,23,8500,17.63736264,30.54117647,14.8058,145.5505,
1ZVHT82H485113459,1462539333197,45,9000,17.42307692,30.81029412,32.7673,-89.6812,
JTMKF4DV5B5309257,1462539333257,3,3000,17.20879121,31.07941176,46.9048,-110.326,
WP0CA29863U153384,1462539333317,23,2000,16.99450549,31.34852941,35.6411,-79.8431,
2FTRX07W53C371585,1462539333377,34,4000,16.78021978,31.61764706,47.5362,-99.793,
1FAHP26W49G252743,1462539333437,34,4000,16.56593407,31.88676471,41.1289,-98.2883,
JH4TB2H26CC000004,1462539333497,45,4500,16.35164835,32.15588235,43.4108,-71.5653,
1HGCM82633A004356,1462539333557,45,5000,16.13736264,32.425,40.314,-74.5089,
1LNHM81W8YY836534,1462539333617,4,5500,15.92307692,32.69411765,34.8375,-106.237,
1ZVHT82H485113460,1462539333677,54,6000,15.70879121,32.96323529,38.4199,-117.122,
JTMKF4DV5B5309258,1462539333737,54,6500,15.49450549,33.23235294,42.1497,-74.9384,
WP0CA29863U153385,1462539333797,3,7000,15.28021978,33.50147059,40.3736,-82.7755,
2FTRX07W53C371586,1462539333857,43,7500,15.06593407,33.77058824,35.5376,-96.9247,
1FAHP26W49G252744,1462539333917,3,8000,14.85164835,34.03970588,44.5672,-122.127,
JH4TB2H26CC000005,1462539333977,42,8500,14.63736264,34.30882353,40.5773,-77.264,
1HGCM82633A004357,1462539334037,23,9000,14.42307692,34.57794118,18.2766,-66.335,
1LNHM81W8YY836535,1462539334097,32,3000,14.20879121,34.84705882,41.6772,-71.5101,
1ZVHT82H485113461,1462539334157,45,2000,17,35.11617647,33.8191,-80.9066,
JTMKF4DV5B5309259,1462539334217,56,4000,18,35.38529412,44.2853,-99.4632,
WP0CA29863U153386,1462539334277,57,4000,19,35.65441176,35.7449,-86.7489,
2FTRX07W53C371587,1462539334337,38,4500,20,35.92352941,31.106,-97.6475,
1FAHP26W49G252745,1462539334397,23,5000,21.43113553,36.19264706,40.1135,-111.854,
JH4TB2H26CC000006,1462539334457,23,5500,22.6670853,36.46176471,37.768,-78.2057,
1HGCM82633A004358,1462539334517,45,6000,23.90303506,36.73088235,18.0001,-64.8199,
1LNHM81W8YY836536,1462539334577,3,6500,25.13898482,37,44.0407,-72.7093,
1ZVHT82H485113462,1462539334637,23,7000,26.37493459,37.26911765,47.3917,-121.571,
JTMKF4DV5B5309260,1462539334697,34,7500,27.61088435,37.53823529,44.2563,-89.6385,
WP0CA29863U153387,1462539334757,34,8000,28.84683412,37.80735294,38.468,-80.9696,
2FTRX07W53C371588,1462539334817,45,8500,30.08278388,38.07647059,42.7475,-107.209,
1FAHP26W49G252746,1462539334877,45,9000,31.31873365,38.34558824,43.0059,-71.0132,
JH4TB2H26CC000007,1462539334937,4,3000,20,38.61470588,43.0059,-71.0132,
1HGCM82633A004359,1462539334997,54,2000,23,38.88382353,43.0059,-71.0132,
1LNHM81W8YY836537,1462539335057,54,4000,23,39.15294118,43.0059,-71.0132,
1ZVHT82H485113463,1462539335117,3,4000,25,39.42205882,43.0059,-71.0132,
JTMKF4DV5B5309261,1462539335177,43,4500,25,39.69117647,43.0059,-71.0132,
WP0CA29863U153388,1462539335237,3,5000,15,39.96029412,40.92233,-72.6371,
2FTRX07W53C371589,1462539335297,42,5500,25,40.22941176,40.92233,-72.6371,
1FAHP26W49G252747,1462539335357,23,6000,25,40.49852941,18.1801,-66.7495,
JH4TB2H26CC000008,1462539335417,32,6500,28,40.76764706,18.36329,-67.1802,
1HGCM82633A004360,1462539335477,45,7000,14,41.03676471,18.44862,-67.1342,
1LNHM81W8YY836538,1462539335537,56,7500,24,41.30588235,18.49899,-67.137,
1ZVHT82H485113464,1462539335597,57,8000,19,41.575,18.46516,-67.1415,
