timestamp,speed,rpm,calculatedEngineload
1462539331577,56,3000,20
1462539331637,57,2000,23
1462539331697,38,4000,23
1462539331757,23,4000,25
1462539331817,23,4500,25
1462539331877,45,5000,15
1462539331937,3,5500,25
1462539331997,23,6000,25
1462539332057,34,6500,28
1462539332117,34,7000,14
1462539332177,45,7500,24
1462539332237,45,8000,19
1462539332297,4,8500,19
1462539332357,54,9000,20.42307692
1462539332417,54,3000,20.20879121
1462539332477,3,2000,19.99450549
1462539332537,43,4000,19.78021978
1462539332597,3,4000,19.56593407
1462539332657,42,4500,19.35164835
1462539332717,23,5000,19.13736264
1462539332777,32,5500,18.92307692
1462539332837,45,6000,18.70879121
1462539332897,56,6500,18.49450549
1462539332957,57,7000,18.28021978
1462539333017,38,7500,18.06593407
1462539333077,23,8000,17.85164835
1462539333137,23,8500,17.63736264
1462539333197,45,9000,17.42307692
1462539333257,3,3000,17.20879121
1462539333317,23,2000,16.99450549
1462539333377,34,4000,16.78021978
1462539333437,34,4000,16.56593407
1462539333497,45,4500,16.35164835
1462539333557,45,5000,16.13736264
1462539333617,4,5500,15.92307692
1462539333677,54,6000,15.70879121
1462539333737,54,6500,15.49450549
1462539333797,3,7000,15.28021978
1462539333857,43,7500,15.06593407
1462539333917,3,8000,14.85164835
1462539333977,42,8500,14.63736264
1462539334037,23,9000,14.42307692
1462539334097,32,3000,14.20879121
1462539334157,45,2000,17
1462539334217,56,4000,18
1462539334277,57,4000,19
1462539334337,38,4500,20
1462539334397,23,5000,21.43113553
1462539334457,23,5500,22.6670853
1462539334517,45,6000,23.90303506
1462539334577,3,6500,25.13898482
1462539334637,23,7000,26.37493459
1462539334697,34,7500,27.61088435
1462539334757,34,8000,28.84683412
1462539334817,45,8500,30.08278388
1462539334877,45,9000,31.31873365
1462539334937,4,3000,20
1462539334997,54,2000,23
1462539335057,54,4000,23
1462539335117,3,4000,25
1462539335177,43,4500,25
1462539335237,3,5000,15
1462539335297,42,5500,25
1462539335357,23,6000,25
1462539335417,32,6500,28
1462539335477,45,7000,14
1462539335537,56,7500,24
1462539335597,57,8000,19
1462539335657,38,8500,19
1462539335717,23,9000,20.42307692
1462539335777,23,3000,20.20879121
1462539335837,45,2000,19.99450549
1462539335897,3,4000,19.78021978
1462539335957,23,4000,19.56593407
1462539336017,34,4500,19.35164835
1462539336077,34,5000,19.13736264
1462539336137,45,5500,18.92307692
1462539336197,45,6000,18.70879121
1462539336257,4,6500,18.49450549
1462539336317,54,7000,18.28021978
1462539336377,54,7500,18.06593407
1462539336437,3,8000,17.85164835
1462539336497,43,8500,17.63736264
1462539336557,3,9000,17.42307692
1462539336617,42,3000,17.20879121
1462539336677,23,2000,16.99450549
1462539336737,32,4000,16.78021978
1462539336797,45,4000,16.56593407
1462539336857,56,3000,16.35164835
1462539336917,57,2000,16.13736264
1462539336977,38,4000,15.92307692
1462539337037,23,4000,15.70879121
1462539337097,23,4500,15.49450549
1462539337157,45,5000,15.28021978
1462539337217,3,5500,15.06593407
1462539337277,23,6000,14.85164835
1462539337337,34,6500,14.63736264
1462539337397,34,7000,14.42307692
1462539337457,45,7500,14.20879121
1462539337517,45,8000,17
1462539337577,4,8500,18
1462539337637,54,9000,19
1462539337697,54,3000,20
1462539337757,3,2000,21.43113553
1462539337817,43,4000,22.6670853
1462539337877,3,4000,23.90303506
1462539337937,42,4500,25.13898482
1462539337997,23,5000,26.37493459
1462539338057,32,5500,27.61088435
1462539338117,45,6000,28.84683412
1462539338177,56,6500,30.08278388
1462539338237,57,7000,31.31873365
1462539338297,38,7500,20
1462539338357,23,8000,23
1462539338417,23,8500,23
1462539338477,45,9000,25
1462539338537,3,3000,25
1462539338597,23,2000,15
1462539338657,34,4000,25
1462539338717,34,4000,25
1462539338777,45,4500,28
1462539338837,45,5000,14
1462539338897,4,5500,24
1462539338957,54,6000,19
1462539339017,54,6500,19
1462539339077,3,7000,20.42307692
1462539339137,43,7500,20.20879121
1462539339197,3,8000,19.99450549
1462539339257,42,8500,19.78021978
1462539339317,23,9000,19.56593407
1462539339377,32,3000,19.35164835
1462539339437,45,2000,19.13736264
1462539339497,56,4000,18.92307692
1462539339557,57,4000,18.70879121
1462539339617,38,4500,18.49450549
